Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Rees 1976	https://pubmed.ncbi.nlm.nih.gov/65101/	1976	Cat	Physiologic temperature	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Marginal gyrus of the parietal lobe	Neuron	0.5 hours	Dendrite		"Occasional axon terminals in both the cat and the monkey appeared to be swollen. Swollen terminals were evident 1/2 h after death, but they did not increase greatly in number or degree of swelling with time after death. Dendritic and Astrocytic Processes. Dendritic and astrocytic processes had a swollen appearance in the tissue fixed 1/2 h after death. Astrocytic processes, particularly those surrounding blood vessels, were markedly swollen 2 h after death."	No	NA	1	1	1	NA	1
Rees 1976	https://pubmed.ncbi.nlm.nih.gov/65101/	1976	Monkey	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Occipital lobe	Neuron	0.5 hours	Dendrite 	 	"Occasional axon terminals in both the cat and the monkey appeared to be swollen. Swollen terminals were evident 1/2 h after death, but they did not increase greatly in number or degree of swelling with time after death. Dendritic and Astrocytic Processes. Dendritic and astrocytic processes had a swollen appearance in the tissue fixed 1/2 h after death. Astrocytic processes, particularly those surrounding blood vessels, were markedly swollen 2 h after death."	No	NA	1	1	1	NA	1
Rees 1976	https://pubmed.ncbi.nlm.nih.gov/65101/	1976	Cat	Physiologic temperature	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Marginal gyrus of the parietal lobe	Neuron	0.5 hours	Astrocyte process		"Occasional axon terminals in both the cat and the monkey appeared to be swollen. Swollen terminals were evident 1/2 h after death, but they did not increase greatly in number or degree of swelling with time after death. Dendritic and Astrocytic Processes. Dendritic and astrocytic processes had a swollen appearance in the tissue fixed 1/2 h after death. Astrocytic processes, particularly those surrounding blood vessels, were markedly swollen 2 h after death."	No	NA	1	1	1	NA	1
Rees 1976	https://pubmed.ncbi.nlm.nih.gov/65101/	1976	Monkey	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Occipital lobe	Neuron	0.5 hours	Astrocyte process		"Occasional axon terminals in both the cat and the monkey appeared to be swollen. Swollen terminals were evident 1/2 h after death, but they did not increase greatly in number or degree of swelling with time after death. Dendritic and Astrocytic Processes. Dendritic and astrocytic processes had a swollen appearance in the tissue fixed 1/2 h after death. Astrocytic processes, particularly those surrounding blood vessels, were markedly swollen 2 h after death."	No	NA	1	1	1	NA	1
Rees 1976	https://pubmed.ncbi.nlm.nih.gov/65101/	1976	Cat	Physiologic temperature	In situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Marginal gyrus of the parietal lobe	Neuron	1 hours	Myelin		"In the control material, some of the myelin sheaths were well fixed while others showed separation and fragmentation of lamellae. As myelin lamellae present a barrier to the penetration of fixative, thin sheaths were usually better fixed than thick ones. Within 1 h of death, lamellar separation had become more pronounced and in some instances the lamellae had broken away from the sheath and formed loose membranous whorls within the axon and surrounding extracellular space. Axons were frequently observed to have shrunken away from the surrounding sheath. All of these processes were accentuated with time after death although it was still possible to find several well fixed sheaths 4--5 1/2 h after death.." "Monkey cortex immersed in fixative 4 h after death. Some of the sheaths are well fixed, others show marked separation of lamellae." Figure 4. 	No	NA	1	2	2	NA	2
Rees 1976	https://pubmed.ncbi.nlm.nih.gov/65101/	1976	Monkey	Room temperature	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Occipital lobe	Neuron	1 hours	Myelin		"In the control material, some of the myelin sheaths were well fixed while others showed separation and fragmentation of lamellae. As myelin lamellae present a barrier to the penetration of fixative, thin sheaths were usually better fixed than thick ones. Within 1 h of death, lamellar separation had become more pronounced and in some instances the lamellae had broken away from the sheath and formed loose membranous whorls within the axon and surrounding extracellular space. Axons were frequently observed to have shrunken away from the surrounding sheath. All of these processes were accentuated with time after death although it was still possible to find several well fixed sheaths 4--5 1/2 h after death.." "Monkey cortex immersed in fixative 4 h after death. Some of the sheaths are well fixed, others show marked separation of lamellae." Figure 4. 	No	NA	1	2	2	NA	2
Routtenberg 1974	https://pubmed.ncbi.nlm.nih.gov/4458103/	1974	Rat	Not recorded	In situ 	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Hippocampus - dorsal lip of the dentate gyrus in the supragranular portion of the molecular layer	Neuron	1 minutes	Synapse 	Technically they report that this outcome begins at "0 minutes", but it's not entirely clear how they are defining this relative to other studies, so categorizing the data point as beginning at the 1 minute time point they measured seems to make the most sense.	Thickening of post-synaptic membrane; diminished concavity of the synapse; aggregation of spherical densities (intracellular).  	No	NA	1	2	2	NA	2
Scheuerle 1993	https://pubmed.ncbi.nlm.nih.gov/8100657/	1993	Mouse	Room temperature (25°C)	In situ	Not recorded	Light microscopy	No	Hematoxylin and eosin stain	Not recorded	Neuron	24 hours	General cell membrane 		"Histologic analysis of hematoxylin/eosin (HE)-stained sections of brain tissue, obtained 24 h post-mortem showed that about half the neurons were morphologically intact, while the other half showed nuclear fragmentation and disintegration (not shown). Despite these autolytic changes, electron microscopy of isolated mt fractions revealed preservation of the characteristic cristae structure (Fig. 1). This was true of both "free" and synaptosomal mitochondria, that are derived mainly from neurons."	No	NA	3	3	3	NA	3
Schulz 1980 	https://pubmed.ncbi.nlm.nih.gov/7393760/	1980	Cat	Not recorded	In situ 	Freezing	Light microscopy	No	Morphological stain with cresyl violet	Cerebral cortex	Neuron	22 hours	General cell membrane		"For our purposes, the most important finding was the very small, non-significant difference of size and form between intravital neurons and nerve cells 22 hours postmortem." ... "With progressive autolysis at 5 hours and 22 hours after death, dissolution of Nissl bodies (chromatolysis) and nuclei takes place (Fig. IC and D): cell staining becomes pale... The cytoplasm becomes lytic and disappears. At a 22 hour postmortem interval, most of the neuronal nuclei undergo karyorrhexis (Fig. D)" + Figure 1. 	No	NA	1	3	3	1	1
Schwab 1994	https://pubmed.ncbi.nlm.nih.gov/7951696/	1994	Rat	Stored at a temperature that that mimics the human brain cooling curve without refrigeration	In situ	Immersion fixation	Light microscopy	No	Morphological staining with cresyl violet	Hippocampus	Neuron	8 hours	General cell membrane	Longest time point studied.	"The morphological appearance of neurons, as assessed by Cresyl violet staining, was similar in perfused, immersion-fixed, and postmortem animals"	No	NA	0	0	0	NA	0
Schwab 1994	https://pubmed.ncbi.nlm.nih.gov/7951696/	1994	Rat	Stored at a temperature that that mimics the human brain cooling curve without refrigeration	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for tau with tau-1 antibody	Hippocampus	Neuron	8 hours	Axon		"In the postmortem animals (Figs. 2,3). tau-1 immunoreactivity was lost from axons and appeared to accumulate in the neuronal perikarya. This became more prominent with increasing postmortem intervals, such that by 8 hours, the neuropil was very lightly stained whereas cellular immunoreactivity was intense. Some axonal staining persisted in the mossy fibers and in a line along the inner one-third of the dentate gyrus molecular layer (DGML). The cellular tau-1 staining in 8 hour postmortem tissues was granular and, in addition to the perikarya, tau-1 immunoreactivity was observed in the proximal portion of the apical dendrites and basal dendrites of some pyramidal neurons"	No	NA	3	2	2	NA	2
Schwab 1994	https://pubmed.ncbi.nlm.nih.gov/7951696/	1994	Rat	Stored at a temperature that that mimics the human brain cooling curve without refrigeration	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MAP2	Hippocampus	Neuron	4 hours	Dendrite		"In the immersion-fixed control tissues, MAP2 immunoreactivity was decreased in distal dendrites and enhanced in the neuronal cell bodies and proximal portions of both apical and basal dendrites. The increase in cellular immunostaining was most pronounced in hilar neurons but was also evident in granule and pyramidal cells. Staining was also greatly decreased in the CA1 stratum oriens and in the molecular layer of the prosubiculum. These alterations progressed with increasing postmortem intervals (Fig. 7). By 4 hours postmortem, staining had virtually disappeared from the DGML, and by 8 hours had disappeared from the granule cells. Marked changes were observed in the subiculum where some neurons were intensely immunostained while pre- and parasubicular regions appeared devoid of both cellular and dendritic immunoreactivity. This was first observed in the parasubicular region and progressed towards prosubiculumICA1 with increasing postmortem intervals. In the subicular neurons which remained immunostained in the 8 hour postmortem group, the dendrites were thickened and distorted" 	No	NA	3	1	1	3	3
Schwab 1994	https://pubmed.ncbi.nlm.nih.gov/7951696/	1994	Rat	Stored at a temperature that that mimics the human brain cooling curve without refrigeration	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MAP1B	Hippocampus	Neuron	1 hour	General cell membrane		"Altered MAPIB immunostaining in the rat hippocampal formation at various times postmortem. (A) In a perfused, control animal MAPlB immunoreactivity is observed in both axons and dendrites and lightly surrounds neuronal cell bodies. (B) Following a postmortem interval of 1 hour, MAPlB irnmunostaining is enhanced in the cell bodies of granule, hilar, and pyramidal neurons and decreased in the neuropil. This is more evident 4 hours postmortem (C), and by 8 hours (D), dendritic staining is largely absent, whereas axonal and somatic staining persist, except in the subicular region where somatic MAPIB immunoreactivity is lost." Also Figure 8 	No	NA	1	1	1	NA	1
Schwab 1994	https://pubmed.ncbi.nlm.nih.gov/7951696/	1994	Rat	Stored at a temperature that that mimics the human brain cooling curve without refrigeration	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MAP1B	Hippocampus	Neuron	8 hours	Dendrite		"Altered MAPIB immunostaining in the rat hippocampal formation at various times postmortem. (A) In a perfused, control animal MAPlB immunoreactivity is observed in both axons and dendrites and lightly surrounds neuronal cell bodies. (B) Following a postmortem interval of 1 hour, MAPlB irnmunostaining is enhanced in the cell bodies of granule, hilar, and pyramidal neurons and decreased in the neuropil. This is more evident 4 hours postmortem (C), and by 8 hours (D), dendritic staining is largely absent, whereas axonal and somatic staining persist, except in the subicular region where somatic MAPIB immunoreactivity is lost." + Figure 8 	No	NA	3	2	2	NA	2
Serra 2005	https://pubmed.ncbi.nlm.nih.gov/16002253/	2005	Rat	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFRalpha-1, GFRalpha-2, GFRalpha-3 and Ret receptor molecules	Multiple or no clear focus	Neuron	72 hours	General cell membrane		"The anti-Ret, GFRalpha-1, GFRalpha-2, and GFRalpha-3 sera labelled a number of neurons in the hippocampus, fascia dentata and subicular cortex. Although suffering of bad tissue preservation, the discrete localization of the immunolabelling for the four receptors was easily recognizable and persisted with comparable aspect up to 72 h post-mortem" Also Figure 2. 	No	NA	1	2	2	NA	2
Sheleg 2008	https://pubmed.ncbi.nlm.nih.gov/18784829/	2008	Rat	Room temperature	In Situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin, Nissl stained (thionine) 	Multiple or no clear focus	Neuron	24 hours	General cell membrane		"Absence of appreciable histological changes of the hippocampal neurons at 12 hours after warm cardiac arrest" ... "Routine staining with H&E revealed no appreciable histologic changes of the cortical, cerebellar, and hippocampal neurons within the study period" ... "Thionine (Nissl) staining demonstrated no evidence of nuclear breakdown, with retained nuclear integrity, and intact Nissl substance during the entire study interval. Nissl staining only showed tigrolysis in Purkinje cells and pyramidal cells in the hippocampus 12 hours after warm cardiac arrest. No hyper-chromatosis or pyknotic neurons were seen at 9 hours following cerebral anoxia at room temperature" ... "while H&E sections and sections stained with Thionine were fully devoid of autolytic changes up to 24 hours. Our results demonstrated a lack of autolytic damage to the same regions on both H&E and on Nissl staining."	No	NA	0	0-1	0	NA	0
Sheleg 2008	https://pubmed.ncbi.nlm.nih.gov/18784829/	2008	Rat	Room temperature	In Situ	Immersion fixation	Electron microscopy	No	Morphologically stained with hematoxylin and eosin, Nissl stained (thionine) 	Multiple or no clear focus	Neuron	6 hours	General cell membrane		"Our results also showed no ultrastructural changes related to autolysis of the cerebral neurons (Purkinje cells, pyramidal neurons of the hippocampus) for 6 hours after warm cardiac arrest."	No	NA	0	0	0	NA	0
Shepherd 2009	https://pubmed.ncbi.nlm.nih.gov/18996206/	2009	Rat	Room temperature	Ex Situ, "on microscope slides inside sealed, humidified chambers to prevent tissue desiccation"	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Cortex	Multiple or no clear focus	4 hours	Neuropil		"By 4 hrs PMI, cortical slices developed some perinuclear vacuolization and staining pallor to the neuropil, but nuclear morphology remained preserved". Also Figure 6. 	No	NA	1	1	1	NA	1
Shepherd 2009	https://pubmed.ncbi.nlm.nih.gov/18996206/	2009	Rat	Room temperature	Ex Situ, "on microscope slides inside sealed, humidified chambers to prevent tissue desiccation"	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Cortex	Multiple or no clear focus	12 hours	General cell membrane		"During the first 12 hours PMI, histology of cortical slices demonstrated increasing neuronal retraction artifact, neuropil staining pallor and perinuclear vacuolization". Also Figure 6. 	No	NA	2	1-2	2	NA	2
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Oligodendrocyte	0.5 hours	Myelin		"The myelin sheath is slightly disintegrated. The lamellae are partially distorted". Also Figure 4. 	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Oligodendrocyte	2 hours	Myelin		"Myelinated fibers. (MyF) are slightly disintegrated". Also Figure 6. 	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Oligodendrocyte	7 hours	Myelin		"The myelinated fibers is disrupted, but synapses are relatively preserved." Also Figure 7. 	No	NA	1	2	2	NA	2
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Neuron	7 hours	Synapses		"The myelinated fibers is disrupted, but synapses are relatively preserved." Also Figure 7. 	No	NA	1	0	0	NA	0
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Neuron	10 hours	Synapses		"Synaptic contacts are preserved, but vesicles decreased."	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Neuron	7 hours	Neuropil		"The neuropil is a 3."	No	NA	3	3	3	NA	3
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Astrocyte	10 hours	General cell membrane		"An astrocyte, swollen vesicles and vacuoles (V) are shown."	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Electron microscopy	No	Epoxy embedded sections stained with uranyl acetate and lead citrate	Hippocampus CA1	Astrocyte	1 hour	Astrocyte process		"Within 1-hour postmortem period, the dilatation of the endoplasmic reticulum in the neurons and the swelling of the processes of astrocytes were distinguishable." Figure 8. 	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Morphological staining with hematoxylin and eosin and Kluver-Barrera methods	Hippocampus CA1	Pyramidal neuron	1 hour	General cell membrane		"Pyramidal neurons were slightly edematous, especially in the region near the white matter" 	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Morphological staining with hematoxylin and eosin and Kluver-Barrera methods	Hippocampus CA1	Neuron	2 hours	General cell membrane		"Neurons undergone 2h postmortem autolysis. Slight shrinkage of neurons is shown." Also Figure 1B. 	No	NA	1	1	1	NA	1
Shibayama 1976	https://pubmed.ncbi.nlm.nih.gov/955526/	1976	Rat	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Morphological staining with hematoxylin and eosin and Kluver-Barrera methods	Hippocampus CA1	Neuron	10 hours	General cell membrane		"Neurons undergone 10h postmortem autolysis. Nuclei of neurons are slightly pyknotic and perineuronal spaces are partly disintegrated." Also Figure 1C. 	No	NA	1	2	2	NA	2
Smitt 1993	https://pubmed.ncbi.nlm.nih.gov/7506474/	1993	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SMI-31	Cerebellum	Multiple or no clear focus	24 hours	General cell membrane	Reference time point of 4-7 hours PMI.	"Increase in postmortem delay did not consistently affect staining intensity and distribution, or a specific background staining."	No	NA	0	0	0	NA	0
Smitt 1993	https://pubmed.ncbi.nlm.nih.gov/7506474/	1993	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MNF	Cerebellum	Multiple or no clear focus	24 hours	General cell membrane	Reference time point of 4-7 hours PMI.	"Increase in postmortem delay led to an increase in background staining"	No	NA	1	1	1	NA	1
Smitt 1993	https://pubmed.ncbi.nlm.nih.gov/7506474/	1993	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for BF-10	Cerebellum	Multiple or no clear focus	24 hours	General cell membrane	Reference time point of 4-7 hours PMI.	"Increase in postmortem delay led to a decrease in intensity and distribution of immunoreactivity, whereas background staining was unaffected."	No	NA	2	1	1	NA	1
Smitt 1993	https://pubmed.ncbi.nlm.nih.gov/7506474/	1993	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SMI-32	Cerebellum	Multiple or no clear focus	24 hours	General cell membrane	Reference time point of 4-7 hours PMI.	"The intensity and distribution of SMI-32 immunoreactivity of Sensofix-fixed sections was affected by increase in postmortem delay, whereas sections fixed in Bouin or B5 were not."	No	NA	0	1	1	NA	1
Smitt 1993	https://pubmed.ncbi.nlm.nih.gov/7506474/	1993	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Cerebellum	Astrocyte	24 hours	General cell membrane	Reference time point of 4-7 hours PMI.	"Postmortem autolysis did not affect staining intensity, but after 24 hours postmortem delay, sections of all cases, except case S90-322, showed staining of Purkinje cell perikarya" ... "With anti- GFAP MAb, even and consistent staining was obtained in Bouin- and B5-found tissues only. With the other fixatives we could detect Bergmann fiber reactivity only in case S90- 320. As with anti-GFAP PAb, staining of Purkinje cell perikarya was noted after a postmortem interval of 24 hours."	No	NA	1	0	0	NA	0
Smitt 1993	https://pubmed.ncbi.nlm.nih.gov/7506474/	1993	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Cerebellum	Neuron	24 hours	General cell membrane	Reference time point of 4-7 hours PMI.	"SY-38 immunoreactivity was in no case affected by a postmortem interval of 24 hours."	No	NA	0	0	0	NA	0
Smythies 1960 	https://pubmed.ncbi.nlm.nih.gov/13832248/	1960	Dog	Room temperature	Ex situ	Immersion fixation	Light microscopy	No	Morphological staining by the Rio-Hortega double impregnation technique	Multiple or no clear focus	Multiple or no clear focus	1 hour	Neuropil		"The neuropil here was dense, but the fibers were somewhat more irregular with occasional thickenings and irregularities along their course."	No	NA	1	1	1	NA	1
Smythies 1960 	https://pubmed.ncbi.nlm.nih.gov/13832248/	1960	Dog	Room temperature	Ex situ	Immersion fixation	Light microscopy	No	Morphological staining by the Rio-Hortega double impregnation technique	Multiple or no clear focus	Multiple or no clear focus	24 hours	Neuropil		"[N]europil had almost completely fragmented (or was no longer stainable)." ... "A few fibres were still seen (P1. 1, fig. 3) coursing amid much debris - small globular and irregular masses staining to a variable degree but mainly rather faintly"	No	NA	3	2	2	NA	2
Smythies 1960 	https://pubmed.ncbi.nlm.nih.gov/13832248/	1960	Dog	Room temperature	Ex situ	Immersion fixation	Light microscopy	No	Morphological staining by the Rio-Hortega double impregnation technique	Multiple or no clear focus	Multiple or no clear focus	48 hours	Neuropil		"The neuropil was almost completely fragmented with many granules scattered between the cells but particularly surrounding the large pyramidal and Betz cells of the motor region."	No	NA	3	3	3	NA	3
Spacek 1982	https://pubmed.ncbi.nlm.nih.gov/7136505/	1982	Human	Not recorded	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Cerebral and cerebellar cortices	Astrocyte	5 hours	Astrocyte intercellular connections		"There are several reasons why the contact was so conspicuous and, in its fully differentiated form, easy to find: (1) the contacting plasma membranes became thicker and electron-denser, (2) the intercellular distance became narrower, (3) fine paramembranous and intermembranous material appeared, and (4) ribosomes appeared in the paramembranous position." ... "we suggest that the RAC between cerebellar cortical astrocytes represents a quite unusual variant of an intercellular apposition which derived from an already pre-existing membrane contact between astrocytes during anoxia". Also Figure 10/11. 	No	NA	1	1	1	NA	1
Spacek 1982	https://pubmed.ncbi.nlm.nih.gov/7136505/	1982	Mouse	Not recorded	In situ	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Cerebral and cerebellar cortices	Astrocyte	2 minutes	Astrocyte intercellular connections		"There are several reasons why the contact was so conspicuous and, in its fully differentiated form, easy to find: (1) the contacting plasma membranes became thicker and electron-denser, (2) the intercellular distance became narrower, (3) fine paramembranous and intermembranous material appeared, and (4) ribosomes appeared in the paramembranous position." ... "we suggest that the RAC between cerebellar cortical astrocytes represents a quite unusual variant of an intercellular apposition which derived from an already pre-existing membrane contact between astrocytes during anoxia". Also Figure 10/11. 	No	NA	1	0	0	NA	0
Sparks 1995	https://pubmed.ncbi.nlm.nih.gov/8881985/	1995	Human	Not recorded	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for ALZ-50	Frontal cortex	Neuron	24 hours	General cell membrane		"We have demonstrated that there is no effect of postmortem interval on ALZ-50 pathology in human brain. We prepared adjacent blocks of frontal cortex from a number of adult brains with short postmortem intervals and sequentially fixed the tissue samples starting at collection and every 3 hours up to a total of 24 hours’ postmortem interval. For each individual, there was no difference in the number of ALZ-50-immunoreactive neurons between adjacent sections of cortex over the period of time studied"	No	NA	0	0	0	NA	0
Tafrali 2019	https://www.researchgate.net/publication/337607818_Post-mortem_changes_and_autolysis_in_frontal_lobe_cells_of_Sus_scrofa_-_a_cellular_and_subcellular_ultrastructural_analysis_via_transmission_electron_microscopy	2019	Pig	Room temperature	Not recorded	Fixation, delivery method unclear	Electron microscopy	No	Stained with osmium tetroxide, platinum blue, and lead citrate	Frontal white and grey matter	Neuron	3 hours	General cell membrane	They note that taking the brain out of the skull takes 1 hour, which should in practice add 1 hour PMI to each of their intervals.	Decreased average maximum diameter of neurons, increased average maximum diameter of astrocytes and oligodendrocytes reported in Table 5. Also intracellular vacuolozation reported in all cell types. 	No	NA	1	1	1	NA	1
Tafrali 2019	https://www.researchgate.net/publication/337607818_Post-mortem_changes_and_autolysis_in_frontal_lobe_cells_of_Sus_scrofa_-_a_cellular_and_subcellular_ultrastructural_analysis_via_transmission_electron_microscopy	2019	Pig	Room temperature	Not recorded	Fixation, delivery method unclear	Electron microscopy	No	Stained with osmium tetroxide, platinum blue, and lead citrate	Frontal white and grey matter	Multiple or no clear focus	12 hours	General cell membrane	They note that taking the brain out of the skull takes 1 hour, which should in practice add 1 hour PMI to each of their intervals.	At this time point, there does not seem to be a significant further change in average maximum diameter. Slight increase in vacuolozation - 67% of cells have vacuolization, compared to 42.9% at 3 hours and 58.3% at 6 hours (Tab. 4). Regarding 12 hours PMI - "We saw strong intracytoplasmic vacuolization in some cells (Fig. 21), compared to earlier cells".	No	NA	1	1	1	NA	1
Tang 2001	https://pubmed.ncbi.nlm.nih.gov/11418939/	2001	Mammalian species (one dog, one cow, three pigs) 	Room temperature for 6 h, basement room for 18 h, then 4°C	In situ 	Immersion fixation	Electron microscopy	No	Ethanolic phosphotungstic acid staining	Neocortex	Neuron	48 hours	Synapse count		"The apparent decrease of 3.9% in the numerical density of synapses in the large mammals following a 2-day fixation delay was not significant" ... "The 2-day postmortem change of the numerical density of synapses in three pigs, one dog, and one cow was -1.7%, 5.0%, -4.7%, -8.2%, and -9.7%, respectively. The average postmortem reduction of the numerical density of synapses in the five animal neocortices was 3.9%, which is not significant (2P = 0.18)." ... "From the data obtained, it would appear that the synapses of brain neocortex can be analyzed with a reasonable degree of accuracy in tissue fixed within a few days after death."	No	NA	0	0	0	NA	0
Tao-Cheng 2007	https://pubmed.ncbi.nlm.nih.gov/17299754/	2007	Mouse	Room temperature	In Situ	Perfusion fixed	Electron microscopy	No	Stained with osmium tetroxide and uranyl acetate	Multiple or no clear focus	Neuron	6.5 minutes	Synapse		"After delayed fixation, cerebral cortical PSDs increased appreciably in thickness (Fig.1B), whereas Purkinje spine PSDs from the same mice increased only slightly in thickness (Fig. 1D). Measurements ofthe average PSD thickness of asymmetric synapses from hippocampus, cerebral cortex, and cerebellar cortex (see Materials and Methods for details on sampling and measurements) showed significant increases in thickness of 70%, 90%, and 23%, respectively"	No	NA	1	1	1	NA	1
Tapia-González 2020	https://pubmed.ncbi.nlm.nih.gov/31512254/	2020	Mouse, Rat	Not recorded	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for secretagogin	Hippocampus	Neuron	5 hours	General cell membrane		"As shown in Figure 10 in general, the pattern of immunostaining was similar in brains fixed by perfusion or by immersion after up to 5 hr PT delay, in both rats (Figure10a–d) and mice (Figure10e–h). The only apparent difference was a general decrease in the intensity of the labeling of Type II cells." ... "We have not found apparent differences in the general pattern of SCGN staining in the mouse or rat, up to 5 hr of PT. Nevertheless, we observed a decreased intensity of the SCGN immunostaining at 2 hr PT, with this decrease becoming more evident at 5 hr PT in both species. In rat hippocampus, there was a decrease in the type II SCGN‐somata (lightly labeled cells) in CA1 and CA2 and in the subgranular zone of the DG. In mouse brain there was a decrease in the labeling of type II SCGN‐somata in the granular cell layer of DG." + Figure 10 	No	NA	1	1	1	NA	1
